"VOC ID"|"Original Filename"|"Flickr Image ID"|"Flickr Username"|"Real Name"
"000046"|"flickr_cat/84211332"|"84211332"|"cameron"|"Cameron Marlow"
"000047"|"msrcorid_cars_side view/104_0415"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000048"|"flickr_motorbike/11569183"|"11569183"|"mipearson"|"Michael Pearson"
"000049"|"flickr_cat/83936548"|"83936548"|"Chris Griego"|"Chris Griego"
"000050"|"flickr_dog/84162218"|"84162218"|"JustPlucky"|"JustPlucky"
"000051"|"flickr_cat/84119695"|"84119695"|"nattywoohoo"|"Natty Woohoo"
"000052"|"flickr_cat/83888959"|"83888959"|"mikeandanna"|"Anna"
"000053"|"flickr_bus/70928890"|"70928890"|"la fille bizarre"|"Alisa Ehlert"
"000054"|"flickr_dog/83989120"|"83989120"|"VASpider."|"VASpider."
"000055"|"s0454392/100_0562"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000056"|"flickr_horse/71710855"|"71710855"|"Ch0C|iT"|"JN"
"000057"|"msrcorid_cars_side view/105_0523"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000058"|"moray/dsc_2513"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
"000059"|"flickr_horse/73874851"|"73874851"|"photogirl72"|"Patricia Graves"
"000060"|"msrcorid_bicycles_side view, single/177_7739"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000061"|"moray/dsc_2920"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
"000062"|"msrcorid_bicycles_general/159_5929"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000063"|"s0454392/car4"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000064"|"flickr_cat/83848231"|"83848231"|"SuziJane"|"SuziJane"
"000065"|"schroff/p8220009"|"n/a"|"n/a"|"Florian Schroff, University of Oxford"
"000066"|"flickr_cat/85558072"|"85558072"|"bluecash"|"bluecash"
"000067"|"s0454392/100_0704"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000068"|"flickr_dog/84148197"|"84148197"|"soozrowan"|"Soozrowan"
"000069"|"smyllie/pentlands02"|"n/a"|"n/a"|"Kira Smyllie, University of Edinburgh"
"000070"|"bednar/20030501_00dx015_moon"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000071"|"flickr_motorbike/14374916"|"14374916"|"Speedymax"|"Simon"
"000072"|"flickr_cow/55884906"|"55884906"|"MogMad"|"Ron"
"000073"|"msrcorid_animals_cows_single/109_0952"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000074"|"flickr_cow/79077073"|"79077073"|"Ant_Pix"|"Ant_Pix"
"000075"|"flickr_motorbike/24816911"|"24816911"|"thorner"|"Todd Horner"
"000076"|"flickr_cow/81891104"|"81891104"|"seamusdidit"|"Seamus Z"
"000077"|"flickr_sheep/51540515"|"51540515"|"jmstylr"|"James"
"000078"|"flickr_cow/72007987"|"72007987"|"naiveyes"|"Nathalie"
"000079"|"flickr_dog/83842724"|"83842724"|"Shirley Moon"|"Fastfoods Eater"
"000080"|"flickr_motorbike/23649931"|"23649931"|"alex felipe"|"alex felipe"
"000081"|"flickr_cow/55018261"|"55018261"|"kskvarci"|"Ken"
"000082"|"flickr_horse/71847009"|"71847009"|"julie b1"|"Julie Brown"
"000083"|"flickr_cow/53836601"|"53836601"|"Perfectiononacurve"|"Autumn"
"000084"|"flickr_bicycle/79819180"|"79819180"|"exdxbmx"|"exdxbmx"
"000085"|"msrcorid_animals_cows_general/111_1200"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000086"|"flickr_sheep/49004216"|"49004216"|"chrisq38"|"Christine Quirion"
"000087"|"msrcorid_animals_cows_general/110_1075"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000088"|"flickr_cat/83871374"|"83871374"|"Niklas"|"Niklas Pivic"
"000089"|"schroff/abd"|"n/a"|"n/a"|"Florian Schroff, University of Oxford"
"000090"|"msrcorid_bicycles_side view, single/163_6389"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000091"|"flickr_bicycle/73605933"|"73605933"|"Jim Barker"|"Jim Barker"
"000092"|"msrcorid_animals_sheep_single/111_1121"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000093"|"flickr_cow/55990401"|"55990401"|"_Marcel_"|"Marcel Mor?"
"000094"|"msrcorid_animals_cows_single/110_1022"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000095"|"msrcorid_bicycles_side view, single/104_0416"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000096"|"flickr_sheep/47696068"|"47696068"|"*eSThER*"|"Esther"
"000097"|"flickr_dog/84229535"|"84229535"|"mirkpinkelollo"|"d' Pope"
"000098"|"moray/dsc_2979"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
"000099"|"msrcorid_animals_cows_single/108_0858"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000100"|"flickr_bus/79563764"|"79563764"|"MadPole"|"Andrzej Szyma?ski"
"000101"|"bednar/20040607_03dx001_[going-away_week]"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000102"|"s0454392/100_0636"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000103"|"msrcorid_cars_side view/184_8454"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000104"|"msrcorid_animals_cows_single/109_0941"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000105"|"flickr_horse/71437660"|"71437660"|"andyi"|"Andy Ihnatko"
"000106"|"msrcorid_animals_cows_single/110_1074"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000107"|"flickr_horse/72256008"|"72256008"|"globalglenn"|"Glenn Fitzpatrick"
"000108"|"msrcorid_cars_rear view/127_2750"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000109"|"flickr_dog/84167933"|"84167933"|"Paul Plummer"|"Paul Plummer"
"000110"|"flickr_horse/73849948"|"73849948"|"cordovahogan"|"cordovahogan"
"000111"|"flickr_sheep/62484336"|"62484336"|"Shepody Boy"|"Neil Steeves"
"000112"|"msrcorid_animals_sheep_single/111_1139"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000113"|"msrcorid_animals_sheep_single/114_1461"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000114"|"flickr_sheep/52949965"|"52949965"|"Jonathan Fox"|"Jonathan Fox"
"000115"|"msrcorid_cars_side view/104_0478"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000116"|"flickr_bicycle/85283539"|"85283539"|"Ryan Henderson"|"Ryan Henderson"
"000117"|"flickr_cow/57441087"|"57441087"|"updownsideways"|"Dana"
"000118"|"msrcorid_cars_front view/184_8474"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000119"|"msrcorid_animals_cows_single/108_0882"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000120"|"flickr_bus/71004114"|"71004114"|"Davido"|"David Moore"
"000121"|"flickr_motorbike/41945474"|"41945474"|"Maestro_AU"|"Maestro_AU"
"000122"|"flickr_dog/85657391"|"85657391"|"Wildcat Dunny"|"Greg Dunham"
"000123"|"msrcorid_bicycles_side view, single/105_0535"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000124"|"flickr_motorbike/31688949"|"31688949"|"racingtiger"|"racingtiger"
"000125"|"flickr_cat/83863895"|"83863895"|"hello.ken1"|"ken"
"000126"|"flickr_bus/71937178"|"71937178"|"Will Rise"|"Will Rise"
"000127"|"s0454392/100_0561"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000128"|"flickr_dog/84168312"|"84168312"|"Paul Plummer"|"Paul Plummer"
"000129"|"msrcorid_cars_side view/160_6079"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000130"|"s0454392/100_0773"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000131"|"fiona/harrry7"|"n/a"|"n/a"|"Fiona Jamieson, University of Edinburgh"
"000132"|"flickr_cat/84031917"|"84031917"|"mirsasha"|"mirsasha"
"000133"|"flickr_cat/84050588"|"84050588"|"Maia C"|"Maia C"
"000134"|"msrcorid_bicycles_side view, single/179_7954"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000135"|"msrcorid_cars_general/161_6102"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000136"|"flickr_bus/71924805"|"71924805"|"happybuses"|"PETER"
"000137"|"az/picture 090"|"n/a"|"n/a"|"Andrew Zisserman, University of Oxford"
"000138"|"flickr_motorbike/7340628"|"7340628"|"Paul Longhurst"|"Paul Longhurst"
"000139"|"flickr_horse/73889510"|"73889510"|"photogirl72"|"Patricia Graves"
"000140"|"flickr_sheep/76674709"|"76674709"|"Huwmorgan"|"Huw Morgan"
"000141"|"flickr_dog/84089149"|"84089149"|"Val Uski"|"Val Uski"
"000142"|"msrcorid_cars_side view/103_0380"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000143"|"flickr_bus/71809723"|"71809723"|"Ian Fuller"|"Ian Fuller"
"000144"|"flickr_sheep/55310425"|"55310425"|"Eggybird"|"I Craig"
"000145"|"flickr_cat/85327153"|"85327153"|"jayfo"|"Jason Foley"
"000146"|"msrcorid_cars_rear view/184_8492"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000147"|"flickr_cat/84266198"|"84266198"|"mk30"|"marina"
"000148"|"msrcorid_animals_cows_single/118_1871"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000149"|"flickr_bus/81539109"|"81539109"|"Dennis Wong"|"Dennis Wong"
"000150"|"flickr_sheep/48944586"|"48944586"|"johnmuk"|"John Morris"
"000151"|"flickr_dog/83993084"|"83993084"|"melissabwise"|"Beth Haught"
"000152"|"flickr_dog/83998222"|"83998222"|"piscestiff"|"piscestiff"
"000153"|"flickr_motorbike/15459193"|"15459193"|"gideonb"|"Gideon Bullock"
"000154"|"flickr_cat/84192737"|"84192737"|"nimmo"|"Kurt Nimmo"
"000155"|"msrcorid_cars_general/161_6107"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000156"|"msrcorid_cars_rear view/160_6076"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000157"|"flickr_horse/73925556"|"73925556"|"cindy47452"|"Cindy Seigle"
"000158"|"flickr_horse/71847010"|"71847010"|"julie b1"|"Julie Brown"
"000159"|"flickr_bicycle/73270586"|"73270586"|"Brooklyn Aphrodite"|"Brooklyn Aphrodite"
"000160"|"bednar/20030528_01dx001_moon"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000161"|"flickr_bus/72913453"|"72913453"|"Big Al Davies"|"Al Davies"
"000162"|"flickr_cat/84146288"|"84146288"|"Sarananda"|"Sara Sherman"
"000163"|"flickr_motorbike/15201864"|"15201864"|"Kidsturk"|"Stuart Bridgett"
"000164"|"msrcorid_bicycles_side view, single/178_7804"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000165"|"flickr_horse/72521492"|"72521492"|"The Old Siftar"|"Al Siftar"
"000166"|"flickr_bus/71588618"|"71588618"|"Will Rise"|"Will Rise"
"000167"|"flickr_cow/58377429"|"58377429"|"BadHistory"|"BadHistory"
"000168"|"flickr_horse/71407817"|"71407817"|"dcmarch"|"Daniel March"
"000169"|"flickr_cat/84146240"|"84146240"|"Sarananda"|"Sara Sherman"
"000170"|"msrcorid_animals_cows_single/117_1788"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000171"|"flickr_cat/83915370"|"83915370"|"mikeandanna"|"Anna"
"000172"|"bednar/20000615_califer_viewpoint_erik"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000173"|"flickr_cat/83888644"|"83888644"|"mikeandanna"|"Anna"
"000174"|"flickr_cow/55113687"|"55113687"|"wchien"|"Wendy"
"000175"|"flickr_bus/71809203"|"71809203"|"Ian Fuller"|"Ian Fuller"
"000176"|"flickr_horse/72506456"|"72506456"|"DanaKamp"|"Dana Kamp"
"000177"|"flickr_dog/83874003"|"83874003"|"Duke of Aberdeen"|"Duke"
"000178"|"flickr_bus/79958276"|"79958276"|"moucri"|".tausha"
"000179"|"flickr_sheep/79071828"|"79071828"|"pwhite"|"Pete White"
"000180"|"flickr_cat/84217267"|"84217267"|"nutmegalicious"|"Meg Alicious"
"000181"|"flickr_cow/61060865"|"61060865"|"Iain Cuthbertson"|"Iain Cuthbertson"
"000182"|"schroff/imgp0865"|"n/a"|"n/a"|"Florian Schroff, University of Oxford"
"000183"|"flickr_cow/65437386"|"65437386"|"paterkarras"|"Pater Karras"
"000184"|"douze/img_4759"|"n/a"|"n/a"|"Matthijs Douze, INRIA Rhones-Alpes"
"000185"|"msrcorid_cars_side view/179_7912"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000186"|"flickr_horse/72505780"|"72505780"|"DanaKamp"|"Dana Kamp"
"000187"|"flickr_bus/72031279"|"72031279"|"~ Greg ~"|"Greg Clark"
"000188"|"flickr_horse/72995563"|"72995563"|"iko"|"Olivier"
"000189"|"flickr_sheep/53466196"|"53466196"|"pmecologic"|"Paul"
"000190"|"msrcorid_cars_side view/160_6063"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000191"|"msrcorid_bicycles_general/164_6403"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000192"|"moray/dsc_3007"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
"000193"|"msrcorid_animals_sheep_general/114_1457"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000194"|"flickr_cat/84437570"|"84437570"|"This Year's Love"|"Rebekah"
"000195"|"flickr_bus/71807665"|"71807665"|"Ian Fuller"|"Ian Fuller"
"000196"|"flickr_motorbike/24816798"|"24816798"|"thorner"|"Todd Horner"
"000197"|"s0454392/100_0665"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000198"|"flickr_dog/84213453"|"84213453"|"latca"|"Michael Liu"
"000199"|"msrcorid_cars_rear view/161_6160"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000200"|"s0454392/100_0663"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000201"|"flickr_cat/84114324"|"84114324"|"Aishacat"|"Helena Bergin"
"000202"|"flickr_cow/59103124"|"59103124"|"a nameless yeast"|"pat padua"
"000203"|"flickr_cat/84085877"|"84085877"|"nbornstein"|"Niel Bornstein"
"000204"|"msrcorid_bicycles_side view, single/184_8410"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000205"|"flickr_bus/69629385"|"69629385"|"-->dEfSEf..."|"Seth"
"000206"|"schroff/img_1047"|"n/a"|"n/a"|"Florian Schroff, University of Oxford"
"000207"|"flickr_cat/83954837"|"83954837"|"hansd"|"hansd"
"000208"|"msrcorid_cars_rear view/184_8451"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000209"|"msrcorid_bicycles_side view, single/178_7801"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000210"|"flickr_bus/71815993"|"71815993"|"Ian Fuller"|"Ian Fuller"
"000211"|"flickr_cat/84234426"|"84234426"|"nicco"|"Nicco Mele"
"000212"|"moray/dsc01013"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
"000213"|"s0454392/100_0688"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000214"|"flickr_motorbike/48774529"|"48774529"|"bunnypancake"|"Al!"
"000215"|"msrcorid_bicycles_general/178_7855"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000216"|"flickr_cat/84236207"|"84236207"|"Somewickedgirl"|"Kathryn"
"000217"|"flickr_cat/84164559"|"84164559"|"TARUGOMAN"|"Iggy or Ignatius or Cutefatsunovabitch Javellana"
"000218"|"flickr_motorbike/12781968"|"12781968"|"ZaksterNT"|"Zak Sherwood"
"000219"|"flickr_cat/83989394"|"83989394"|"ECOgarden"|"Brian Chiu"
"000220"|"bednar/20020703_01dx007_tasca"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000221"|"flickr_dog/84780001"|"84780001"|"lachie"|"Lachie Cox"
"000222"|"msrcorid_animals_cows_single/110_1095"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000223"|"flickr_lorry/76898127"|"76898127"|"Irish Joe"|"Joe Malone"
"000224"|"flickr_motorbike/4040867"|"4040867"|"Steve Downe"|"Steve Downe"
"000225"|"flickr_bus/69407432"|"69407432"|"focajonathan"|"Jonathan"
"000226"|"flickr_motorbike/10883286"|"10883286"|"Vondelskater"|"Marco Hollenberg"
"000227"|"flickr_horse/73553155"|"73553155"|"cindy47452"|"Cindy Seigle"
"000228"|"flickr_bus/69542019"|"69542019"|"larissalovescrew"|"larissa"
"000229"|"flickr_dog/83905283"|"83905283"|"Perla Gosling"|"Perla Gosling Lewis"
"000230"|"msrcorid_cars_rear view/110_1050"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000231"|"flickr_dog/85316521"|"85316521"|"lagardefamily"|"lagardefamily"
"000232"|"flickr_horse/73891848"|"73891848"|"photogirl72"|"Patricia Graves"
"000233"|"flickr_horse/85471701"|"85471701"|"princess_of_llyr"|"Sera"
"000234"|"me/dscn0542"|"n/a"|"n/a"|"Mark Everingham"
"000235"|"flickr_horse/73047105"|"73047105"|"penoppi"|"penoppi"
"000236"|"flickr_sheep/64248848"|"64248848"|"sponge2292"|"Sponge"
"000237"|"flickr_dog/85493823"|"85493823"|"DarCheek"|"DarCheek"
"000238"|"flickr_dog/84152246"|"84152246"|"gus.andrews"|"gus andrews"
"000239"|"flickr_horse/73471552"|"73471552"|"garyhodgson_808"|"Gary Hodgson"
"000240"|"smyllie/spore003"|"n/a"|"n/a"|"Kira Smyllie, University of Edinburgh"
"000241"|"flickr_sheep/50384591"|"50384591"|"gmccarga"|"George"
"000242"|"flickr_cow/54278653"|"54278653"|"tristanf"|"Tristan Ferne"
"000243"|"flickr_cat/85178613"|"85178613"|"sizemore"|"Mike Atherton"
"000244"|"flickr_sheep/53890834"|"53890834"|"NickCody"|"Nick Cody"
"000245"|"s0454392/100_0540"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000246"|"flickr_cat/84103730"|"84103730"|"sidesmirk"|"Meghan"
"000247"|"msrcorid_cars_rear view/153_5329"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000248"|"flickr_bicycle/70736445"|"70736445"|"Farl"|"Farl"
"000249"|"flickr_cat/84020230"|"84020230"|"Felix42"|"Rachel"
"000250"|"msrcorid_cars_side view/104_0481"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000251"|"flickr_motorbike/11112158"|"11112158"|"stupidhead"|"Kong"
"000252"|"flickr_bicycle/75930114"|"75930114"|"jowo"|"Joel Dinda"
"000253"|"flickr_cat/84074180"|"84074180"|"*AStarWithin*"|"Beth"
"000254"|"flickr_cow/76835798"|"76835798"|"roz the brownie"|"Rozzie Brown"
"000255"|"msrcorid_animals_sheep_single/117_1757"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000256"|"flickr_cow/63201953"|"63201953"|"Renata Diem"|"Renata Diem"
"000257"|"flickr_cow/65709425"|"65709425"|"ljc@flickr"|"ljc"
"000258"|"flickr_motorbike/28593473"|"28593473"|"DanFreedman"|"Daniel Freedman"
"000259"|"flickr_dog/84228956"|"84228956"|"mirkpinkelollo"|"d' Pope"
"000260"|"flickr_horse/72521489"|"72521489"|"The Old Siftar"|"Al Siftar"
"000261"|"flickr_dog/84222356"|"84222356"|"Torri 479"|"Torri"
"000262"|"msrcorid_bicycles_side view, single/176_7630"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000263"|"flickr_bus/72502074"|"72502074"|"USTommyMC"|"Denny Gomez"
"000264"|"msrcorid_bicycles_side view, single/177_7799"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000265"|"sharmeli/dsc01690"|"n/a"|"n/a"|"Stefan Harmeling, University of Edinburgh"
"000266"|"flickr_dog/83947463"|"83947463"|"Buck Houston"|"Buck Houston"
"000267"|"flickr_cat/84013745"|"84013745"|"mfap"|"Johan Sperling"
"000268"|"msrcorid_cars_side view/104_0433"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000269"|"flickr_cat/85768320"|"85768320"|"Newbery Family"|"Michael Newbery"
"000270"|"flickr_cat/85703937"|"85703937"|"takethetoyz"|"Emy"
"000271"|"flickr_horse/72513419"|"72513419"|"DanaKamp"|"Dana Kamp"
"000272"|"moray/dsc_2896"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
"000273"|"msrcorid_animals_cows_general/110_1084"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000274"|"bednar/20050619_01dx004_[austin]_[color]"|"n/a"|"n/a"|"James Bednar, University of Edinburgh"
"000275"|"flickr_bicycle/71779004"|"71779004"|"Mandie | CBM"|"Mandie"
"000276"|"flickr_sheep/51511265"|"51511265"|"Just Jo"|"Jo"
"000277"|"msrcorid_animals_sheep_single/114_1426"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000278"|"flickr_dog/84011982"|"84011982"|"gummyAvenger"|"Daniel Isenhower"
"000279"|"msrcorid_animals_sheep_single/108_0894"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000280"|"flickr_horse/73645110"|"73645110"|"photogirl72"|"Patricia Graves"
"000281"|"msrcorid_animals_sheep_general/114_1473"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000282"|"flickr_dog/83966777"|"83966777"|"?????"|"mAyumlx"
"000283"|"msrcorid_bicycles_general/159_5930"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000284"|"flickr_motorbike/10385284"|"10385284"|"barron"|"Barron"
"000285"|"flickr_dog/83838959"|"83838959"|"swmcc"|"Stephen McCullough"
"000286"|"s0454392/100_0680"|"n/a"|"n/a"|"Juan Huo, University of Edinburgh"
"000287"|"flickr_horse/75600085"|"75600085"|"shadowplay"|"Hans Proppe"
"000288"|"flickr_lorry/31560433"|"31560433"|"Lorry Girl"|"Lorry Girl"
"000289"|"msrcorid_cars_rear view/112_1216"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000290"|"flickr_sheep/48601164"|"48601164"|"Joe Cashin"|"Joe Cashin"
"000291"|"flickr_sheep/70848461"|"70848461"|"nagaremono"|"Fukuoka Nagaremono"
"000292"|"flickr_cat/83889095"|"83889095"|"mikeandanna"|"Anna"
"000293"|"flickr_cat/84114327"|"84114327"|"Aishacat"|"Helena Bergin"
"000294"|"flickr_horse/72354682"|"72354682"|"learza"|"Alex"
"000295"|"msrcorid_bicycles_side view, single/119_1923"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000296"|"flickr_sheep/53119008"|"53119008"|"James Crowley"|"James Crowley"
"000297"|"flickr_bus/72131470"|"72131470"|"craigatk"|"Craig Atkinson"
"000298"|"msrcorid_cars_rear view/153_5331"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000299"|"msrcorid_animals_sheep_single/114_1467"|"n/a"|"n/a"|"Microsoft Research Cambridge"
"000300"|"flickr_horse/82861807"|"82861807"|"EXB-WDC"|"Elvert Barnes"
"000301"|"flickr_sheep/55524947"|"55524947"|"bunnygoth"|"Lisa Jacobs"
"000302"|"flickr_sheep/64357779"|"64357779"|"cbonney"|"chris"
"000303"|"flickr_dog/84168009"|"84168009"|"Paul Plummer"|"Paul Plummer"
"000304"|"flickr_dog/85396726"|"85396726"|"FIG2"|"FIG2"
"000305"|"flickr_horse/72099361"|"72099361"|"LePe"|"Lea"
"000306"|"flickr_motorbike/15301154"|"15301154"|"Boggin"|"Richard Bogle"
"000307"|"moray/dsc_2966"|"n/a"|"n/a"|"Moray Allen, University of Edinburgh"
